system,file,time
katch,nkpl/benchmarks/inc-first15/inc10.nkpl,0.017280485
katch,nkpl/benchmarks/inc-first15/inc2.nkpl,0.002717897
katch,nkpl/benchmarks/inc-first15/inc3.nkpl,0.003738319
katch,nkpl/benchmarks/inc-first15/inc4.nkpl,0.00526495
katch,nkpl/benchmarks/inc-first15/inc5.nkpl,0.007312337
katch,nkpl/benchmarks/inc-first15/inc6.nkpl,0.008539103
katch,nkpl/benchmarks/inc-first15/inc7.nkpl,0.01045741
katch,nkpl/benchmarks/inc-first15/inc8.nkpl,0.009233988
katch,nkpl/benchmarks/inc-first15/inc9.nkpl,0.011406073
frenetic,nkpl/benchmarks/inc-first15/inc1.nkpl,0.04
frenetic,nkpl/benchmarks/inc-first15/inc10.nkpl,588.10
frenetic,nkpl/benchmarks/inc-first15/inc2.nkpl,0.03
frenetic,nkpl/benchmarks/inc-first15/inc3.nkpl,0.03
frenetic,nkpl/benchmarks/inc-first15/inc4.nkpl,0.04
frenetic,nkpl/benchmarks/inc-first15/inc5.nkpl,0.06
frenetic,nkpl/benchmarks/inc-first15/inc6.nkpl,0.19
frenetic,nkpl/benchmarks/inc-first15/inc7.nkpl,1.02
frenetic,nkpl/benchmarks/inc-first15/inc8.nkpl,7.78
frenetic,nkpl/benchmarks/inc-first15/inc9.nkpl,67.95
katch,nkpl/benchmarks/large/Cogentco_reachability.nkpl,0.652626942
katch,nkpl/benchmarks/large/Cogentco_unreachability.nkpl,0.66053921
katch,nkpl/benchmarks/large/Deltacom_reachability.nkpl,0.205154627
katch,nkpl/benchmarks/large/Deltacom_slicing.nkpl,0.509683826
katch,nkpl/benchmarks/large/Deltacom_unreachability.nkpl,0.214486724
katch,nkpl/benchmarks/large/Missouri_slicing.nkpl,0.173750318
katch,nkpl/benchmarks/large/Telcove_slicing.nkpl,0.197936354
katch,nkpl/benchmarks/large/ft6_reachability.nkpl,0.149083941
katch,nkpl/benchmarks/large/ft6_slicing.nkpl,0.22444425
katch,nkpl/benchmarks/large/ft8_reachability.nkpl,0.448821931
katch,nkpl/benchmarks/large/ft8_unreachability.nkpl,0.445760536
frenetic,nkpl/benchmarks/large/Cogentco_reachability.nkpl,timeout (3600s)
frenetic,nkpl/benchmarks/large/Cogentco_unreachability.nkpl,timeout (3600s)
frenetic,nkpl/benchmarks/large/Deltacom_reachability.nkpl,2062.34
frenetic,nkpl/benchmarks/large/Deltacom_slicing.nkpl,timeout (3600s)
frenetic,nkpl/benchmarks/large/Deltacom_unreachability.nkpl,2367.49
frenetic,nkpl/benchmarks/large/Missouri_slicing.nkpl,417.17
frenetic,nkpl/benchmarks/large/Telcove_slicing.nkpl,1124.25
frenetic,nkpl/benchmarks/large/ft6_reachability.nkpl,894.55
frenetic,nkpl/benchmarks/large/ft6_slicing.nkpl,661.72
frenetic,nkpl/benchmarks/large/ft8_reachability.nkpl,timeout (3600s)
frenetic,nkpl/benchmarks/large/ft8_unreachability.nkpl,timeout (3600s)
